,date,turnover<0,turnover>0,ХЃам<0,ХЃам>0
355,2010/6/22,1494081.578,1567425.499,1487452.935,1693692.504
356,2010/6/23,1494081.578,1567425.499,1487452.935,1693692.504
357,2010/6/24,1494081.578,1567425.499,1487452.935,1693692.504
358,2010/6/25,1494081.578,1567425.499,1487452.935,1693692.504
359,2010/6/28,1494081.578,1567425.499,1487452.935,1693692.504
360,2010/6/29,1494081.578,1567425.499,1487452.935,1693692.504
361,2010/6/30,1494081.578,1567425.499,1487452.935,1693692.504
362,2010/7/1,1494081.578,1567425.499,1487452.935,1693692.504
363,2010/7/2,1494081.578,1567425.499,1487452.935,1693692.504
364,2010/7/5,1494081.578,1567425.499,1487452.935,1693692.504
365,2010/7/6,1494081.578,1567425.499,1487452.935,1693692.504
366,2010/7/7,1494081.578,1567425.499,1487452.935,1693692.504
367,2010/7/8,1494081.578,1567425.499,1487452.935,1693692.504
368,2010/7/9,1494081.578,1567425.499,1487452.935,1693692.504
369,2010/7/12,1494081.578,1567425.499,1487452.935,1693692.504
370,2010/7/13,1494081.578,1567425.499,1487452.935,1693692.504
371,2010/7/14,1494081.578,1567425.499,1487452.935,1693692.504
372,2010/7/15,1494081.578,1567425.499,1487452.935,1693692.504
373,2010/7/16,1494081.578,1567425.499,1487452.935,1693692.504
374,2010/7/19,1494081.578,1567425.499,1487452.935,1693692.504
375,2010/7/20,1494081.578,1567425.499,1487452.935,1693692.504
376,2010/7/21,1494081.578,1567425.499,1487452.935,1693692.504
377,2010/7/22,1494081.578,1567425.499,1487452.935,1693692.504
378,2010/7/23,1494081.578,1567425.499,1487452.935,1693692.504
379,2010/7/26,1494081.578,1567425.499,1487452.935,1693692.504
380,2010/7/27,1494081.578,1567425.499,1487452.935,1693692.504
381,2010/7/28,1494081.578,1567425.499,1487452.935,1693692.504
382,2010/7/29,1494081.578,1567425.499,1487452.935,1693692.504
383,2010/7/30,1494081.578,1567425.499,1487452.935,1693692.504
384,2010/8/2,1494081.578,1567425.499,1487452.935,1693692.504
385,2010/8/3,1494081.578,1567425.499,1487452.935,1693692.504
386,2010/8/4,1494081.578,1567425.499,1487452.935,1693692.504
387,2010/8/5,1494081.578,1567425.499,1487452.935,1693692.504
388,2010/8/6,1494081.578,1567425.499,1487452.935,1693692.504
389,2010/8/9,1494081.578,1567425.499,1487452.935,1693692.504
390,2010/8/10,1494081.578,1567425.499,1487452.935,1693692.504
391,2010/8/11,1494081.578,1567425.499,1487452.935,1693692.504
392,2010/8/12,1494081.578,1567425.499,1487452.935,1693692.504
393,2010/8/13,1494081.578,1567282.721,1487452.935,1693549.726
394,2010/8/16,1494081.578,1600547.721,1487452.935,1726814.726
395,2010/8/17,1494081.578,1610652.721,1487452.935,1736919.726
396,2010/8/18,1494081.578,1608187.721,1487452.935,1734454.726
397,2010/8/19,1494081.578,1617207.721,1487452.935,1743474.726
398,2010/8/20,1494081.578,1588672.721,1487452.935,1714939.726
399,2010/8/23,1494081.578,1587602.721,1487452.935,1713869.726
400,2010/8/24,1494081.578,1595422.721,1487452.935,1721689.726
401,2010/8/25,1494081.578,1561017.721,1487452.935,1687284.726
402,2010/8/26,1494081.578,1564552.721,1487452.935,1690819.726
403,2010/8/27,1494081.578,1568792.721,1487452.935,1695059.726
404,2010/8/30,1494081.578,1597012.721,1487452.935,1723279.726
405,2010/8/31,1494081.578,1591102.721,1487452.935,1717369.726
406,2010/9/1,1494081.578,1581527.721,1487452.935,1707794.726
407,2010/9/2,1494081.578,1600202.721,1487452.935,1726469.726
408,2010/9/3,1494081.578,1599612.721,1487452.935,1725879.726
409,2010/9/6,1494081.578,1627052.721,1487452.935,1753319.726
410,2010/9/7,1494081.578,1631062.721,1487452.935,1757329.726
411,2010/9/8,1494081.578,1629992.721,1487452.935,1756259.726
412,2010/9/9,1494081.578,1602737.721,1487452.935,1729004.726
413,2010/9/10,1494081.578,1605782.721,1487452.935,1732049.726
414,2010/9/13,1494081.578,1620667.721,1487452.935,1746934.726
415,2010/9/14,1494081.578,1622012.721,1487452.935,1748279.726
416,2010/9/15,1494081.578,1596102.721,1487452.935,1722369.726
417,2010/9/16,1494081.578,1568402.721,1487452.935,1694669.726
418,2010/9/17,1494081.578,1570192.721,1487452.935,1696459.726
419,2010/9/20,1494081.578,1564422.721,1487452.935,1690689.726
